Question 1 - b4q1,Question 2 - b2p2,Question 3 - b3p4,Question 4 - b1p5,Question 5 - b4p2,Question 6 - b3p3,Question 7 - b1p1,Question 8 - b2p5,Question 9 - b4p3,Question 10 - b3p2,Question 11 - b2p1,Question 12 - b1p2,Question 13 - b4p4,Question 14 - b1p4,Question 15 - b2p4,Question 16 - b3p5,Question 17 - b2p3,Question 18 - b4p5,Question 19 - b3p1,Question 20 - b1p3,Is Military
4073.594999994384,2037.1850000228733,2021.6200000140816,4952.069999999367,5132.904999976745,1609.8599999968428,4969.794999982696,1324.185000004945,1748.9749999949709,1366.5449999971315,1305.530000012368,1401.7800000146965,1561.4549999882,1340.999999985797,4344.559999997728,4671.000000002096,2128.724999987753,2065.1799999759533,2495.330000005197,1515.320000005886,0
2802.8249999997643,1353.9250000003522,1340.439999999944,8413.400000000358,2918.180000000575,1876.9099999999453,3535.550000000512,1102.584999999628,1665.1950000005018,718.3949999998731,1148.8899999994755,925.234999999695,2291.0699999993085,1334.4749999996566,1444.069999999556,3231.3299999996234,1524.8150000006715,2649.13499999966,2967.450000000099,1749.9199999992998,0
3632.190000033006,967.4700000323356,714.6450000582263,15733.735000016168,1072.0150000415742,1157.9800000181422,1913.8050000183284,2050.255000009201,1151.7600000370294,689.7549999412149,885.7950000092387,694.9899999890476,1087.2450000606475,701.1499999789521,2648.005000082776,2052.8100000228733,917.5700000487268,2106.195000000298,1257.4049999238923,1004.575000028126,0
2483.255000000092,1852.6700000002163,2620.409999999538,12902.974999999962,2064.040000000212,6343.2149999998655,10169.759999999762,7966.609999999491,1290.1900000006135,993.7449999997624,1641.9200000000274,1366.3150000002206,1245.314999999202,1556.140000000596,1258.394999999844,5114.854999999807,969.3150000002788,1291.439999999959,1033.5450000002163,966.2350000007718,0
2129.44999999991,1172.41000000012,1248.4199999998964,10026.225000000064,1693.139999999854,981.1100000001608,3205.950000000026,1063.3699999998498,854.3449999997392,735.5250000000524,812.0949999997829,702.3049999997893,872.2250000000786,710.1999999999971,1531.9400000002934,1128.549999999901,1349.354999999836,2495.675000000134,998.3149999998276,776.5650000001187,0
3310.11000000035,1164.480000000367,1317.275000000336,6629.500000000007,2404.230000000098,1545.2549999999974,1948.2149999994365,803.9100000005419,1267.2349999993455,721.6549999993731,821.4200000002165,876.5199999998003,1199.479999999312,710.3550000001633,4998.185000000376,1591.374999999971,996.049999999741,1733.9449999999488,988.1199999999808,893.8650000000052,0
1353.4450000151992,1099.44500005804,1103.275000001304,1986.2749999156224,1287.819999968633,1133.5950000211596,2826.894999947399,2663.2799999788404,1197.4349999800324,848.119999980554,1252.680000034161,976.5249999472873,1280.2949999459088,1198.725000023842,2451.479999930598,1812.9499999340624,1184.780000010505,16695.234999991953,1424.5799999916926,1137.6999999629334,0
5096.979999998439,2294.2949999996927,6756.30000000092,2491.4199999984703,2389.970000000176,1893.5500000006869,3945.104999998875,2374.7000000003027,1919.8150000011085,1683.4799999996903,2178.0849999995557,1522.4949999974342,1685.835000000225,1151.6950000004726,1153.135000000475,3386.2000000008265,1460.8299999999872,1812.505000001693,2629.750000000058,994.5450000013808,0
2371.914999996079,1236.7599999997765,1801.0149999972782,6710.409999999683,1696.5149999959976,1579.250000002503,5387.949999996636,966.2549999993644,1045.2500000028522,828.6050000024261,1227.3700000005192,906.8100000004052,1086.2899999992806,667.1649999989313,993.1849999993574,15512.41999999911,1068.4649999966496,1077.6550000009593,1897.5250000003143,1045.8900000012363,0
5341.440000003786,896.2549999996554,863.4299999976065,6769.214999992983,2198.304999998072,862.1249999996508,2736.1799999926006,740.5100000032689,1622.5350000022445,680.1399999967543,800.2449999912642,887.7449999999953,1285.8950000081677,688.6499999964144,1032.2899999882793,906.6200000088428,990.7249999960186,1792.0949999970617,855.9499999973923,705.3100000048289,0
3662.794999996549,1644.7800000023562,1309.9399999919117,18752.800000002026,2151.740000001155,1576.0349999909522,1111.3900000054855,1062.799999999697,1533.7299999955576,1009.5599999913248,1202.129999990575,958.729999998468,1225.9500000072876,720.2799999940908,3444.709999996121,1804.3699999980165,1733.1350000022212,5927.630000005593,1039.75999999966,1195.2799999999115,0
5963.719999999739,908.160000006319,987.0450000016716,11121.824999994717,2877.38000000536,1400.4449999920323,3076.090000002296,1248.2100000052014,1130.234999989625,707.8000000037719,855.1000000006752,662.1900000027381,1032.374999995227,591.1049999995157,4274.310000007972,9858.334999997169,1030.19000000495,3770.504999993136,1606.4150000020163,764.1749999893364,0
4016.0799999939622,5780.415000001085,6394.105000006675,2721.864999999525,6566.160000002128,2793.5300000026477,4361.01499999495,1445.755000000645,2003.0599999954572,1416.8599999975413,1047.3950000014156,871.1600000024191,5742.33500000264,788.6199999993551,1156.8049999987124,3045.689999999013,1087.3249999931431,2959.5849999968777,833.7350000001607,926.789999997709,1
54718.17499999997,11608.84500000064,7301.159999999043,9669.084999999555,3108.400000000984,1780.7100000009232,3574.225000000268,3127.660000000091,1357.8149999993911,1352.3549999991085,1063.5050000000629,1061.3300000004529,1278.9700000012235,1841.805000000022,1196.8999999990046,3110.9999999989523,1079.955000001064,3442.0950000003504,1139.100000000326,830.1250000004075,1
