Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
16,1621934635942,25/05/2021 09:23:55,1621934635864,8,25/05/2021 17:23:55,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,13,1,1,Screen 1,Zone1,response_button_image,1386.9249999988824,null,,pattern 2.png,1,0,1,0,,,false,,,Question 10 - b3p2,,
17,1621934637043,25/05/2021 09:23:57,1621934636967,8,25/05/2021 17:23:56,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,14,1,1,Screen 1,Zone1,response_button_image,1071.1149999988265,null,,pattern 1.png,1,0,1,0,,,false,,,Question 11 - b2p1,,
18,1621934638155,25/05/2021 09:23:58,1621934638087,8,25/05/2021 17:23:58,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,15,1,1,Screen 1,Zone1,response_button_image,1094.6050000202376,null,,pattern 2.png,1,0,1,0,,,false,,,Question 12 - b1p2,,
19,1621934640061,25/05/2021 09:24:00,1621934639997,8,25/05/2021 17:23:59,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,16,1,1,Screen 1,Zone1,response_button_image,1883.7599999969825,null,,pattern 4.png,1,0,1,0,,,false,,,Question 13 - b4p4,,
20,1621934641030,25/05/2021 09:24:01,1621934640904,8,25/05/2021 17:24:00,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,17,1,1,Screen 1,Zone1,response_button_image,886.1150000011548,null,,pattern 4.png,1,0,1,0,,,false,,,Question 14 - b1p4,,
21,1621934643057,25/05/2021 09:24:03,1621934642986,8,25/05/2021 17:24:02,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,18,1,1,Screen 1,Zone1,response_button_image,2061.6049999953248,null,,pattern 4.png,1,0,1,0,,,false,,,Question 15 - b2p4,,
22,1621934648289,25/05/2021 09:24:08,1621934647637,8,25/05/2021 17:24:07,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,19,1,1,Screen 1,Zone1,response_button_image,4624.785000021802,null,,pattern 5.png,1,0,1,0,,,false,,,Question 16 - b3p5,,
23,1621934650982,25/05/2021 09:24:10,1621934650912,8,25/05/2021 17:24:10,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,20,1,1,Screen 1,Zone1,response_button_image,3248.470000020461,null,,pattern 3.png,1,0,1,0,,,false,,,Question 17 - b2p3,,
24,1621934652783,25/05/2021 09:24:12,1621934652713,8,25/05/2021 17:24:12,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,21,1,1,Screen 1,Zone1,response_button_image,1778.5349999903701,null,,pattern 5.png,1,0,1,0,,,false,,,Question 18 - b4p5,,
25,1621934655085,25/05/2021 09:24:15,1621934654440,8,25/05/2021 17:24:14,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,22,1,1,Screen 1,Zone1,response_button_image,1701.3849999930244,null,,pattern 1.png,1,0,1,0,,,false,,,Question 19 - b3p1,,
26,1621934655461,25/05/2021 09:24:15,1621934655363,8,25/05/2021 17:24:15,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,23,1,1,Screen 1,Zone1,response_button_image,906.8600000173319,null,,pattern 3.png,1,0,1,0,,,false,,,Question 20 - b1p3,,
27,1621934661863,25/05/2021 09:24:21,1621934661758,8,25/05/2021 17:24:21,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,24,1,1,Screen 1,advancementZone,response_button_text,6382.535000011558,null,,Click here for end,1,0,1,0,,,false,,,Ending,,
28,1621934662332,25/05/2021 09:24:22,1621934661768,8,25/05/2021 17:24:21,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,,,END TASK,,,,,129504,,,,,0,1,0,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
