Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
17,1621767933349,23/05/2021 11:05:33,1621767933288,8,23/05/2021 19:05:33,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,14,1,1,Screen 1,Zone1,response_button_image,1079.0399999823421,null,,pattern 1.png,1,0,1,0,,,false,,,Question 11 - b2p1,,
18,1621767934508,23/05/2021 11:05:34,1621767934432,8,23/05/2021 19:05:34,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,15,1,1,Screen 1,Zone1,response_button_image,1126.7900000093505,null,,pattern 2.png,1,0,1,0,,,false,,,Question 12 - b1p2,,
19,1621767935843,23/05/2021 11:05:35,1621767935681,8,23/05/2021 19:05:35,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,16,1,1,Screen 1,Zone1,response_button_image,1236.9249999755993,null,,pattern 4.png,1,0,1,0,,,false,,,Question 13 - b4p4,,
20,1621767936890,23/05/2021 11:05:36,1621767936833,8,23/05/2021 19:05:36,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,17,1,1,Screen 1,Zone1,response_button_image,1134.8400000133552,null,,pattern 4.png,1,0,1,0,,,false,,,Question 14 - b1p4,,
21,1621767938218,23/05/2021 11:05:38,1621767938129,8,23/05/2021 19:05:38,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,18,1,1,Screen 1,Zone1,response_button_image,1276.895000017248,null,,pattern 4.png,1,0,1,0,,,false,,,Question 15 - b2p4,,
22,1621767940004,23/05/2021 11:05:40,1621767939936,8,23/05/2021 19:05:39,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,19,1,1,Screen 1,Zone1,response_button_image,1790.3800000203773,null,,pattern 5.png,1,0,1,0,,,false,,,Question 16 - b3p5,,
23,1621767941589,23/05/2021 11:05:41,1621767941536,8,23/05/2021 19:05:41,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,20,1,1,Screen 1,Zone1,response_button_image,1583.1100000068545,null,,pattern 3.png,1,0,1,0,,,false,,,Question 17 - b2p3,,
24,1621767944408,23/05/2021 11:05:44,1621767944352,8,23/05/2021 19:05:44,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,21,1,1,Screen 1,Zone1,response_button_image,2803.3699999796227,null,,pattern 5.png,1,0,1,0,,,false,,,Question 18 - b4p5,,
25,1621767945533,23/05/2021 11:05:45,1621767945441,8,23/05/2021 19:05:45,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,22,1,1,Screen 1,Zone1,response_button_image,1060.2349999826401,null,,pattern 1.png,1,0,1,0,,,false,,,Question 19 - b3p1,,
26,1621767946561,23/05/2021 11:05:46,1621767946513,8,23/05/2021 19:05:46,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,23,1,1,Screen 1,Zone1,response_button_image,1056.4400000148453,null,,pattern 3.png,1,0,1,0,,,false,,,Question 20 - b1p3,,
27,1621767951719,23/05/2021 11:05:51,1621767951657,8,23/05/2021 19:05:51,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,24,1,1,Screen 1,advancementZone,response_button_text,5130.509999988135,null,,Click here for end,1,0,1,0,,,false,,,Ending,,
28,1621767952008,23/05/2021 11:05:52,1621767951661,8,23/05/2021 19:05:51,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,,,END TASK,,,,,142761,,,,,0,1,0,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
