Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
17,1621739229872,23/05/2021 03:07:09,1621739228663,8,23/05/2021 11:07:08,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,14,1,1,Screen 1,Zone1,response_button_image,1641.9200000000274,null,,pattern 1.png,1,0,1,0,,,false,,,Question 11 - b2p1,,
18,1621739231259,23/05/2021 03:07:11,1621739230040,8,23/05/2021 11:07:10,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,15,1,1,Screen 1,Zone1,response_button_image,1366.3150000002206,null,,pattern 2.png,1,0,1,0,,,false,,,Question 12 - b1p2,,
19,1621739232511,23/05/2021 03:07:12,1621739231296,8,23/05/2021 11:07:11,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,16,1,1,Screen 1,Zone1,response_button_image,1245.314999999202,null,,pattern 4.png,1,0,1,0,,,false,,,Question 13 - b4p4,,
20,1621739234078,23/05/2021 03:07:14,1621739232862,8,23/05/2021 11:07:12,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,17,1,1,Screen 1,Zone1,response_button_image,1556.140000000596,null,,pattern 4.png,1,0,1,0,,,false,,,Question 14 - b1p4,,
21,1621739235360,23/05/2021 03:07:15,1621739234132,8,23/05/2021 11:07:14,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,18,1,1,Screen 1,Zone1,response_button_image,1258.394999999844,null,,pattern 4.png,1,0,1,0,,,false,,,Question 15 - b2p4,,
22,1621739240465,23/05/2021 03:07:20,1621739239256,8,23/05/2021 11:07:19,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,19,1,1,Screen 1,Zone1,response_button_image,5114.854999999807,null,,pattern 5.png,1,0,1,0,,,false,,,Question 16 - b3p5,,
23,1621739241440,23/05/2021 03:07:21,1621739240236,8,23/05/2021 11:07:20,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,20,1,1,Screen 1,Zone1,response_button_image,969.3150000002788,null,,pattern 3.png,1,0,1,0,,,false,,,Question 17 - b2p3,,
24,1621739242754,23/05/2021 03:07:22,1621739241539,8,23/05/2021 11:07:21,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,21,1,1,Screen 1,Zone1,response_button_image,1291.4399999999587,null,,pattern 5.png,1,0,1,0,,,false,,,Question 18 - b4p5,,
25,1621739243825,23/05/2021 03:07:23,1621739242584,8,23/05/2021 11:07:22,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,22,1,1,Screen 1,Zone1,response_button_image,1033.5450000002165,null,,pattern 1.png,1,0,1,0,,,false,,,Question 19 - b3p1,,
26,1621739244772,23/05/2021 03:07:24,1621739243559,8,23/05/2021 11:07:23,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,23,1,1,Screen 1,Zone1,response_button_image,966.2350000007718,null,,pattern 3.png,1,0,1,0,,,false,,,Question 20 - b1p3,,
27,1621739254617,23/05/2021 03:07:34,1621739253402,8,23/05/2021 11:07:33,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,24,1,1,Screen 1,advancementZone,response_button_text,9835.910000000702,null,,Click here for end,1,0,1,0,,,false,,,Ending,,
28,1621739254819,23/05/2021 03:07:34,1621739253407,8,23/05/2021 11:07:33,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,,,END TASK,,,,,141167,,,,,0,1,0,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
